FIN_GBR FIN_TSI FIN_YRI GBR_TSI GBR_YRI TSI_YRI
ENSG00000175262 0.0622401291661881 0.0518948278227354 0.299612951729101 0.129690281482589 0.383315233763134 0.124208855771829
ENSG00000120948 0 0.00333080063785873 0.0665581364028182 0 0.0877749472750058 0.134030054443117
ENSG00000009724 0 0 0.0126901668490219 0 0.0386023295709666 0.0086872309801487
ENSG00000116649 0.0187436711546396 0 0.0647941794890985 0.0286733521564847 0.00653194603511234 0.0705029344824142
ENSG00000171824 0.00210033209245728 0 0.0338017082455051 0.00768555548643137 0.00376620465862811 0.046938821474596
ENSG00000198793 0 0 0.0161055712051683 0 0.0341901539485492 0.0223717408554846
ENSG00000120942 0 0.00740783340060018 0 0.0311933379316151 0.0222136597437422 0
ENSG00000116661 0 0.118370354610258 0.0267267311101907 0.0927036736298829 0.0123485880168841 0.0287937554450378
ENSG00000132879 0 0 0.0109893609289942 0 0.0120352333580602 0.0160976110870373
ENSG00000116663 0.0620048199566386 0.155792260375103 0.174059295753036 0.0275890039225102 0.0634089085472772 0.00737050506924975
ENSG00000116670 0.0364350364082927 0.0276903409029547 0.000407203275010542 0.13373766689125 0.0647866819418552 0.00692092621432364
ENSG00000162490 0 0.0177286105219198 0.00307757096557853 0.0246467157932645 0.0071955576319082 0.0509654682633632
ENSG00000177674 0.215317770762746 0.198422250063803 0.152798142985646 0 6.31029188763616e-05 0
ENSG00000177000 0.0175049965142698 0.00305747519279078 0.376071447613753 0 0.329599137979192 0.326984409555895
ENSG00000011021 0.0453908047035224 0 0.199711186202212 0.0248138950048126 0.0898529172978145 0.170109136023079
ENSG00000116685 0 0 0.0199737207397425 0 0.0478913013863925 0.0209881910498641
ENSG00000083444 0.00755357414332979 0 0 0 0.0354527465338391 0.00534840641894671
ENSG00000116688 0.0224828264478534 0.00831042478508204 0.00723503138023098 0.0010036696038526 0.0590714929879767 0.0318343933243713
ENSG00000116691 0.00202393698286417 0.00689633552831112 0.148543027945891 0 0.0914310282706476 0.077303585014095
ENSG00000120949 0.0982306435775918 0.0520033953332213 0.168682001619092 0.00152125663447092 0.00586874674406352 0.0321213989215208
ENSG00000028137 0 0.00724149086200491 0.115627285980311 0 0.1329015946921 0.140432078888163
ENSG00000048707 0 0.00184650498151494 0.218863202821081 0.00233060115388543 0.223992940805696 0.240188046129918
ENSG00000162496 0.159109080430953 0.0552607576467651 0.116765934911551 0.0239853180868788 0.0199048530137336 0.017505513241549
ENSG00000179172 0.0290275551123648 0 0 0.0514538468005645 0.0331831145834848 0
ENSG00000116731 0.0383720927080365 0.0180061891854832 0.0295939378254243 0 0.134088703400796 0.0914103135003085
ENSG00000189337 0 0.0465220577012167 0.198748857209559 0.0819892711645776 0.241664406528174 0.067179662455485
ENSG00000171729 0.0991666149111076 0 0.0205811952111383 0.0893664138930086 0.199901854787155 0.0431110978941091
ENSG00000142621 0 0.0147676362364615 0 0.0360665742062806 0.0152742460957177 0.00786402165109783
ENSG00000142634 0.00928567323583697 0.0359148053224831 0.130962105975117 0.00378807424901983 0.075708022829757 0.0248083739055284
ENSG00000132906 0.0299853800362395 0.00164876000127838 0.0930913115162376 0.0336533825555735 0.0153045347183123 0.080721132469349
ENSG00000116138 0.00297314519700343 0.0129618028291643 0.0787693019143244 0.035645436383055 0.0359239467841712 0.127877267071481
ENSG00000116771 0.0147173176550035 0 0.0668671684168559 0.0308524566478803 0.140470439162106 0.0346251220035515
ENSG00000197312 0.00919845563854289 0 0.145698721447633 0 0.082163145371228 0.0917850271686602
ENSG00000116786 0 0 0.0299562498043804 0 0.0484546780503233 0.0582444746173846
ENSG00000162461 0.00680561319666265 0 0 0.0143843825086532 0.00474398136705812 0
ENSG00000065526 0 0.00287464704709954 0.145531739067925 8.77629595450414e-05 0.179927037787881 0.209812250148067
ENSG00000116809 0 0 0.00700011242373201 0 0.017510809866418 0.00634419187163851
ENSG00000173641 0.0187588808901428 0.0806271362832988 0.0137337472043401 0.0254878023215499 0.00377981093012238 0.0209948440435657
ENSG00000186510 0.0612858601657337 0.146004924282918 0.0784057225692381 0.021617992655678 0 0.00704161242538735
ENSG00000142627 0 0.0775526141176406 0.0339079579349382 0.0737132223778627 0.0287283775398223 0.0111502796032597
ENSG00000142632 0.0146242182732284 0 1.89137079603518e-05 0.0138667924515899 0.000579912832960547 0.000323344856641955
ENSG00000204377 0 0 0.0191703465625186 0 0.00741675434248503 0.00462676371505218
ENSG00000132881 0.0178816987166605 0.00597747111457943 0.101309959666843 0 0.0332771567473103 0.0428629806613056
ENSG00000037637 0.057578302570339 0.0469820738445029 0 0 0.0901777238348011 0.0754116987572586
ENSG00000055070 0.00119402264922263 0.00919959909560155 0.185725113578081 0 0.14268260522751 0.107495024126132
ENSG00000157191 0 0.0181038488552267 0.00621961768886035 0 0 0
ENSG00000219481 0 0.0462122029162979 0.0157257876813685 0.0422239778175532 0 0.0749993086018081
ENSG00000058453 0.219735783274002 0.105738104441657 0.273061877214486 0.0271529921865687 0 0.055107695268609
ENSG00000159363 0.117990689451658 0.145681420503313 0.32294818680921 0 0.0976300763848983 0.0588831811367359
ENSG00000117118 0.0299225607273113 0.00727099796515634 0.0279298311216425 0.0775355022591471 0 0.0780112179737166
ENSG00000117115 0.154493231099554 0.121575813061645 0.00259453827816687 0 0.0983185731151996 0.0697765200102699
ENSG00000159339 0.149596861026326 0.10753382217361 0.142395836966378 0.00794324646769711 0.0112998369609606 0
ENSG00000179051 0.00164556779200754 0.00891441595055809 0.11292638111139 0 0.0612940024861113 0.048102118814573
ENSG00000074964 0 0.0106615198503562 0.171975473769252 0.00275408767351664 0.202437504214871 0.150404275436308
ENSG00000159423 0.0657539798551697 0 0.00111618355010226 0.0536728039849954 0.0822073746063787 0
ENSG00000169991 0.171173762906828 0.194284725265792 0.218675196426548 0 0.0202221745070049 0
ENSG00000127481 0.00435459348330663 0.010665935728871 0.128923032188385 0.0331368475855119 0.122640380839917 0.22132801710809
ENSG00000127463 0.00254831005112714 0.0105722660735882 0.0380452263807683 3.67924604232286e-05 0.0462034310831293 0.015486127794355
ENSG00000053372 0 0.0174227782881 0.0460972722572929 0.0301727686420066 0.0346870947755328 0.130890214141027
ENSG00000162482 0 0.0145619656896258 0 0.0028231168892398 0 0.0188969912118774
ENSG00000053371 0 0.0021195065770906 0 0.0237420631185774 0.00873426447086156 0.00746483586883984
ENSG00000040487 0.0131126618502076 0.0203430628072951 0.0905600370277167 0.0688916108662958 0.16026145540738 0.012386226995328
